Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Screen_Time_Level,Exceeded_Limit,Health_Risk_Flag
18,Male,5.37,Laptop,True,0.36,Obesity Risk,Urban,14–18,High,True,True
16,Male,6.26,Laptop,True,0.3,"Eye Strain, Anxiety, Obesity Risk",Urban,14–18,Very High,True,True
18,Female,4.94,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,14–18,High,True,True
12,Female,4.64,Smartphone,True,0.34,Poor Sleep,Urban,10–13,High,True,True
18,Male,3.76,Smartphone,True,0.36,Eye Strain,Urban,14–18,Moderate,False,False
14,Female,4.69,Smartphone,True,0.37,Anxiety,Urban,14–18,High,True,True
12,Male,6.28,Smartphone,True,0.48,"Poor Sleep, Obesity Risk",Urban,10–13,Very High,True,True
17,Female,3.51,TV,True,0.32,Poor Sleep,Urban,14–18,Moderate,False,False
16,Male,4.42,Smartphone,True,0.33,Poor Sleep,Rural,14–18,High,True,True
17,Male,4.62,TV,True,0.36,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
17,Female,4.94,Laptop,True,0.48,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
12,Female,6.31,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,10–13,Very High,True,True
14,Female,5.02,Tablet,True,0.4,Obesity Risk,Rural,14–18,High,True,True
9,Female,4.79,TV,True,0.47,"Poor Sleep, Eye Strain, Anxiety",Rural,0–9,High,True,True
11,Female,3.73,Smartphone,True,0.49,"Poor Sleep, Eye Strain",Rural,10–13,Moderate,False,False
14,Male,5.25,TV,True,0.45,"Poor Sleep, Obesity Risk",Rural,14–18,High,True,True
9,Female,4.85,TV,True,0.41,Poor Sleep,Rural,0–9,High,True,True
16,Male,4.02,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
15,Male,6.66,TV,True,0.36,"Poor Sleep, Eye Strain",Urban,14–18,Very High,True,True
9,Male,5.87,TV,True,0.5,"Poor Sleep, Eye Strain, Anxiety",Rural,0–9,High,True,True
15,Female,3.73,Tablet,True,0.32,"Poor Sleep, Anxiety",Rural,14–18,Moderate,False,False
10,Male,3.43,TV,True,0.53,Eye Strain,Urban,10–13,Moderate,False,False
13,Male,4.13,Smartphone,True,0.39,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
16,Female,4.24,Smartphone,True,0.43,"Eye Strain, Anxiety",Urban,14–18,High,True,True
9,Male,5.6,TV,True,0.46,Poor Sleep,Urban,0–9,High,True,True
13,Male,4.09,Laptop,True,0.31,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
11,Female,3.82,Smartphone,True,0.4,Obesity Risk,Urban,10–13,Moderate,False,False
9,Male,4.23,TV,True,0.5,Anxiety,Urban,0–9,High,True,True
11,Female,6.16,TV,True,0.42,Eye Strain,Urban,10–13,Very High,True,True
18,Female,3.63,Laptop,True,0.5,Poor Sleep,Urban,14–18,Moderate,False,False
13,Male,5.5,Smartphone,True,0.44,Poor Sleep,Rural,10–13,High,True,True
13,Female,4.71,Laptop,True,0.42,Poor Sleep,Urban,10–13,High,True,True
15,Female,4.0,Smartphone,True,0.42,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
18,Male,4.81,Smartphone,True,0.38,Poor Sleep,Rural,14–18,High,True,True
18,Female,4.32,Smartphone,True,0.42,Anxiety,Urban,14–18,High,True,True
10,Female,5.11,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
11,Male,5.26,Laptop,True,0.31,Poor Sleep,Urban,10–13,High,True,True
14,Male,3.09,Smartphone,True,0.32,Anxiety,Urban,14–18,Moderate,False,False
8,Female,4.5,TV,True,0.44,Eye Strain,Urban,0–9,High,True,True
13,Male,4.95,Tablet,True,0.38,"Poor Sleep, Eye Strain, Obesity Risk",Rural,10–13,High,True,True
18,Female,3.98,Laptop,True,0.42,Poor Sleep,Urban,14–18,Moderate,False,False
14,Female,4.42,Smartphone,True,0.37,Poor Sleep,Rural,14–18,High,True,True
17,Female,3.89,Laptop,True,0.43,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
9,Male,5.84,Smartphone,True,0.58,Eye Strain,Urban,0–9,High,True,True
9,Female,8.02,Smartphone,True,0.48,Eye Strain,Urban,0–9,Very High,True,True
8,Female,6.03,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,0–9,Very High,True,True
16,Male,3.08,Smartphone,True,0.39,Poor Sleep,Rural,14–18,Moderate,False,False
14,Male,5.09,Smartphone,True,0.31,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
14,Female,4.14,TV,True,0.46,Eye Strain,Urban,14–18,High,True,True
18,Male,6.0,Smartphone,True,0.49,Poor Sleep,Urban,14–18,High,True,True
11,Male,4.43,Smartphone,True,0.39,Anxiety,Rural,10–13,High,True,True
18,Male,3.83,Tablet,True,0.47,Eye Strain,Urban,14–18,Moderate,False,False
18,Male,4.49,Smartphone,True,0.43,Poor Sleep,Urban,14–18,High,True,True
15,Male,5.29,Smartphone,True,0.44,Poor Sleep,Urban,14–18,High,True,True
12,Male,6.22,TV,True,0.36,Poor Sleep,Rural,10–13,Very High,True,True
12,Male,4.74,TV,True,0.39,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
18,Male,5.49,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Male,5.17,Smartphone,True,0.46,Eye Strain,Urban,10–13,High,True,True
12,Male,6.18,Smartphone,True,0.46,Poor Sleep,Urban,10–13,Very High,True,True
10,Female,8.27,TV,True,0.59,Poor Sleep,Rural,10–13,Very High,True,True
18,Male,5.53,Smartphone,True,0.36,Poor Sleep,Urban,14–18,High,True,True
8,Female,3.04,TV,True,0.41,"Poor Sleep, Eye Strain, Anxiety",Urban,0–9,Moderate,False,False
17,Female,3.7,Laptop,True,0.46,Poor Sleep,Urban,14–18,Moderate,False,False
13,Male,4.45,Smartphone,True,0.36,Poor Sleep,Rural,10–13,High,True,True
8,Male,3.24,Smartphone,True,0.45,"Poor Sleep, Eye Strain",Urban,0–9,Moderate,False,False
16,Male,7.77,Smartphone,True,0.41,Poor Sleep,Urban,14–18,Very High,True,True
18,Female,3.53,Smartphone,True,0.39,"Eye Strain, Obesity Risk",Rural,14–18,Moderate,False,False
15,Male,5.62,TV,True,0.45,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
16,Male,4.59,TV,True,0.43,Poor Sleep,Urban,14–18,High,True,True
12,Female,5.15,Laptop,True,0.3,Poor Sleep,Rural,10–13,High,True,True
15,Male,3.35,Smartphone,True,0.45,Poor Sleep,Urban,14–18,Moderate,False,False
18,Female,3.81,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
11,Male,6.06,Smartphone,True,0.5,Anxiety,Urban,10–13,Very High,True,True
14,Male,3.62,Laptop,True,0.45,Anxiety,Urban,14–18,Moderate,False,False
15,Female,6.06,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,14–18,Very High,True,True
17,Female,6.12,Smartphone,True,0.44,"Poor Sleep, Eye Strain, Obesity Risk",Urban,14–18,Very High,True,True
10,Female,3.53,Smartphone,True,0.45,"Eye Strain, Anxiety, Obesity Risk",Rural,10–13,Moderate,False,False
14,Female,3.82,TV,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural,14–18,Moderate,False,False
11,Female,7.05,TV,True,0.49,"Poor Sleep, Anxiety",Urban,10–13,Very High,True,True
11,Female,4.68,TV,True,0.31,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
16,Female,4.21,Laptop,True,0.35,Eye Strain,Rural,14–18,High,True,True
13,Female,5.62,Laptop,True,0.33,Obesity Risk,Urban,10–13,High,True,True
16,Male,3.5,Smartphone,True,0.4,Obesity Risk,Urban,14–18,Moderate,False,False
13,Female,6.81,Smartphone,True,0.39,"Poor Sleep, Obesity Risk",Urban,10–13,Very High,True,True
13,Male,3.93,Smartphone,True,0.44,Poor Sleep,Urban,10–13,Moderate,False,False
12,Female,4.38,Laptop,True,0.41,"Poor Sleep, Eye Strain",Rural,10–13,High,True,True
12,Female,5.96,Smartphone,True,0.5,Eye Strain,Rural,10–13,High,True,True
9,Female,6.2,TV,True,0.48,"Eye Strain, Obesity Risk",Urban,0–9,Very High,True,True
15,Male,4.41,Tablet,True,0.4,Poor Sleep,Urban,14–18,High,True,True
15,Female,4.6,Smartphone,True,0.38,Eye Strain,Urban,14–18,High,True,True
18,Female,4.15,Smartphone,True,0.48,Anxiety,Urban,14–18,High,True,True
8,Female,5.34,Smartphone,True,0.5,Eye Strain,Urban,0–9,High,True,True
15,Male,3.09,Laptop,True,0.4,Poor Sleep,Rural,14–18,Moderate,False,False
12,Female,4.32,Tablet,True,0.42,"Poor Sleep, Anxiety",Rural,10–13,High,True,True
9,Female,7.11,TV,True,0.42,Poor Sleep,Rural,0–9,Very High,True,True
13,Male,4.9,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
18,Male,4.94,Laptop,True,0.4,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
8,Male,3.91,Tablet,True,0.51,Poor Sleep,Urban,0–9,Moderate,False,False
13,Female,3.95,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,10–13,Moderate,False,False
16,Male,5.56,Smartphone,True,0.33,Anxiety,Urban,14–18,High,True,True
18,Female,4.71,Smartphone,True,0.33,Anxiety,Urban,14–18,High,True,True
13,Male,7.18,TV,True,0.33,"Poor Sleep, Obesity Risk",Urban,10–13,Very High,True,True
15,Female,4.2,Laptop,True,0.4,Poor Sleep,Rural,14–18,High,True,True
16,Male,3.14,Smartphone,True,0.38,Poor Sleep,Rural,14–18,Moderate,False,False
8,Male,9.35,Smartphone,True,0.4,Poor Sleep,Rural,0–9,Very High,True,True
16,Female,3.54,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
13,Female,3.24,Smartphone,True,0.42,Poor Sleep,Urban,10–13,Moderate,False,False
8,Female,3.18,TV,True,0.57,Poor Sleep,Urban,0–9,Moderate,False,False
17,Female,3.49,Laptop,True,0.4,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
15,Female,3.94,Laptop,True,0.42,Eye Strain,Rural,14–18,Moderate,False,False
9,Female,4.81,Smartphone,True,0.52,"Poor Sleep, Eye Strain",Urban,0–9,High,True,True
8,Male,5.26,TV,True,0.5,"Poor Sleep, Obesity Risk",Urban,0–9,High,True,True
8,Female,7.21,Tablet,True,0.43,"Poor Sleep, Obesity Risk",Urban,0–9,Very High,True,True
16,Female,4.34,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Anxiety",Rural,14–18,High,True,True
8,Male,3.75,Tablet,True,0.56,"Eye Strain, Anxiety",Urban,0–9,Moderate,False,False
13,Male,3.49,Smartphone,True,0.45,Obesity Risk,Urban,10–13,Moderate,False,False
14,Female,4.34,Smartphone,True,0.41,Obesity Risk,Urban,14–18,High,True,True
9,Male,12.8,TV,True,0.56,"Eye Strain, Anxiety",Rural,0–9,Very High,True,True
13,Female,3.74,Smartphone,True,0.34,Poor Sleep,Rural,10–13,Moderate,False,False
17,Male,4.38,Laptop,True,0.41,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
17,Male,4.26,Smartphone,True,0.44,Poor Sleep,Urban,14–18,High,True,True
14,Female,5.5,Smartphone,True,0.39,Poor Sleep,Rural,14–18,High,True,True
15,Male,5.95,Smartphone,True,0.4,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
18,Female,5.2,Laptop,True,0.31,Eye Strain,Urban,14–18,High,True,True
18,Female,5.25,Smartphone,True,0.38,Eye Strain,Rural,14–18,High,True,True
13,Female,4.76,Smartphone,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,High,True,True
13,Male,3.27,Tablet,True,0.36,"Poor Sleep, Obesity Risk",Urban,10–13,Moderate,False,False
16,Male,5.6,Smartphone,True,0.41,"Poor Sleep, Eye Strain, Obesity Risk",Rural,14–18,High,True,True
14,Female,5.58,Smartphone,True,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural,14–18,High,True,True
16,Male,5.41,Laptop,True,0.41,Poor Sleep,Rural,14–18,High,True,True
9,Female,3.35,Tablet,True,0.56,Eye Strain,Rural,0–9,Moderate,False,False
15,Male,4.12,Laptop,True,0.31,Eye Strain,Urban,14–18,High,True,True
15,Male,5.64,TV,True,0.4,Poor Sleep,Rural,14–18,High,True,True
9,Female,7.66,Smartphone,True,0.51,"Poor Sleep, Eye Strain",Urban,0–9,Very High,True,True
11,Male,3.54,Laptop,True,0.33,"Poor Sleep, Anxiety",Urban,10–13,Moderate,False,False
18,Male,3.85,Laptop,True,0.49,Poor Sleep,Rural,14–18,Moderate,False,False
14,Female,4.67,Smartphone,True,0.34,Eye Strain,Rural,14–18,High,True,True
18,Male,5.15,TV,True,0.33,Anxiety,Urban,14–18,High,True,True
11,Male,4.1,Laptop,True,0.32,"Poor Sleep, Eye Strain",Rural,10–13,High,True,True
11,Female,4.27,TV,True,0.46,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
13,Female,4.32,TV,True,0.4,Poor Sleep,Urban,10–13,High,True,True
17,Male,5.19,Smartphone,True,0.44,Eye Strain,Rural,14–18,High,True,True
13,Female,5.48,Laptop,True,0.49,Poor Sleep,Rural,10–13,High,True,True
17,Female,4.06,Laptop,True,0.32,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
16,Male,4.25,Smartphone,True,0.39,Eye Strain,Urban,14–18,High,True,True
17,Female,4.78,Laptop,True,0.47,Eye Strain,Urban,14–18,High,True,True
18,Male,6.24,TV,True,0.41,"Poor Sleep, Anxiety",Urban,14–18,Very High,True,True
13,Female,4.45,Laptop,True,0.32,Poor Sleep,Rural,10–13,High,True,True
14,Male,6.0,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
16,Female,4.78,TV,True,0.48,Poor Sleep,Rural,14–18,High,True,True
10,Male,7.02,Smartphone,True,0.44,Poor Sleep,Urban,10–13,Very High,True,True
14,Female,4.17,Smartphone,True,0.37,Poor Sleep,Urban,14–18,High,True,True
15,Female,6.46,TV,True,0.46,"Poor Sleep, Anxiety",Urban,14–18,Very High,True,True
14,Female,5.68,Smartphone,True,0.3,Poor Sleep,Urban,14–18,High,True,True
13,Female,4.43,Smartphone,True,0.45,Poor Sleep,Urban,10–13,High,True,True
10,Female,3.76,Tablet,True,0.45,Poor Sleep,Urban,10–13,Moderate,False,False
13,Female,4.84,Smartphone,True,0.3,Poor Sleep,Urban,10–13,High,True,True
12,Female,4.16,Smartphone,True,0.3,"Poor Sleep, Anxiety",Rural,10–13,High,True,True
15,Male,3.93,Smartphone,True,0.31,Poor Sleep,Urban,14–18,Moderate,False,False
16,Female,3.92,Smartphone,True,0.3,Poor Sleep,Urban,14–18,Moderate,False,False
18,Male,6.17,Laptop,True,0.38,Eye Strain,Urban,14–18,Very High,True,True
10,Male,4.99,Smartphone,True,0.42,Poor Sleep,Urban,10–13,High,True,True
17,Male,6.51,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,14–18,Very High,True,True
13,Female,4.34,TV,True,0.49,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
14,Female,3.55,Smartphone,True,0.44,Poor Sleep,Urban,14–18,Moderate,False,False
17,Male,4.12,Smartphone,True,0.47,Anxiety,Rural,14–18,High,True,True
11,Female,6.64,Smartphone,True,0.45,Poor Sleep,Rural,10–13,Very High,True,True
12,Male,3.5,TV,True,0.41,Anxiety,Rural,10–13,Moderate,False,False
11,Female,4.42,TV,True,0.34,Poor Sleep,Urban,10–13,High,True,True
11,Male,4.98,Laptop,True,0.41,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban,10–13,High,True,True
15,Female,5.58,Smartphone,True,0.35,Poor Sleep,Urban,14–18,High,True,True
8,Male,5.29,Smartphone,True,0.59,Poor Sleep,Rural,0–9,High,True,True
10,Male,4.35,TV,True,0.54,Poor Sleep,Rural,10–13,High,True,True
16,Male,4.05,Tablet,True,0.4,Poor Sleep,Urban,14–18,High,True,True
11,Male,3.69,TV,True,0.43,Poor Sleep,Urban,10–13,Moderate,False,False
13,Female,5.83,Laptop,True,0.46,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
14,Male,5.53,Smartphone,True,0.37,Poor Sleep,Urban,14–18,High,True,True
10,Female,11.26,Smartphone,True,0.6,Eye Strain,Rural,10–13,Very High,True,True
17,Female,6.75,Tablet,True,0.42,"Poor Sleep, Obesity Risk",Rural,14–18,Very High,True,True
13,Female,6.47,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,Very High,True,True
9,Male,4.98,Smartphone,True,0.54,Poor Sleep,Rural,0–9,High,True,True
15,Male,4.24,Smartphone,True,0.36,Eye Strain,Urban,14–18,High,True,True
15,Female,4.17,Laptop,True,0.43,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
11,Female,4.78,TV,True,0.48,Eye Strain,Urban,10–13,High,True,True
17,Male,4.6,Smartphone,True,0.3,"Poor Sleep, Obesity Risk",Rural,14–18,High,True,True
14,Male,3.91,Smartphone,True,0.48,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
12,Female,5.14,Smartphone,True,0.4,Anxiety,Urban,10–13,High,True,True
12,Male,6.49,Smartphone,True,0.46,Poor Sleep,Urban,10–13,Very High,True,True
16,Male,5.97,Laptop,True,0.35,Poor Sleep,Rural,14–18,High,True,True
13,Male,4.77,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
15,Female,5.1,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Rural,14–18,High,True,True
14,Male,4.31,Smartphone,True,0.33,Poor Sleep,Rural,14–18,High,True,True
16,Female,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Urban,14–18,Moderate,False,False
14,Male,5.49,Tablet,True,0.48,Eye Strain,Rural,14–18,High,True,True
8,Male,8.11,TV,True,0.55,"Poor Sleep, Obesity Risk",Rural,0–9,Very High,True,True
18,Male,5.59,Tablet,True,0.45,Poor Sleep,Rural,14–18,High,True,True
16,Female,5.54,Laptop,True,0.46,Poor Sleep,Urban,14–18,High,True,True
12,Female,4.43,Laptop,True,0.49,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
12,Male,6.25,Laptop,True,0.38,"Poor Sleep, Obesity Risk",Urban,10–13,Very High,True,True
15,Female,5.2,TV,True,0.47,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Female,3.04,TV,True,0.31,Poor Sleep,Rural,10–13,Moderate,False,False
18,Female,3.56,Smartphone,True,0.34,Poor Sleep,Urban,14–18,Moderate,False,False
17,Female,7.3,Smartphone,True,0.4,Anxiety,Rural,14–18,Very High,True,True
16,Male,6.24,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Rural,14–18,Very High,True,True
11,Male,5.59,TV,True,0.3,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
18,Female,5.34,TV,True,0.35,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Female,6.0,Laptop,True,0.49,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
16,Male,4.87,TV,True,0.47,Poor Sleep,Urban,14–18,High,True,True
18,Female,6.69,Smartphone,True,0.43,Obesity Risk,Urban,14–18,Very High,True,True
12,Female,3.64,Laptop,True,0.43,Poor Sleep,Urban,10–13,Moderate,False,False
12,Male,3.77,Laptop,True,0.45,Poor Sleep,Urban,10–13,Moderate,False,False
8,Female,3.59,Tablet,True,0.49,Poor Sleep,Urban,0–9,Moderate,False,False
8,Male,7.33,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban,0–9,Very High,True,True
15,Male,3.03,TV,True,0.46,Poor Sleep,Urban,14–18,Moderate,False,False
13,Female,6.89,Smartphone,True,0.46,Poor Sleep,Rural,10–13,Very High,True,True
18,Female,3.69,TV,True,0.45,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
11,Male,6.4,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,10–13,Very High,True,True
9,Male,4.72,Smartphone,True,0.59,Poor Sleep,Urban,0–9,High,True,True
9,Female,3.13,Smartphone,True,0.45,Poor Sleep,Rural,0–9,Moderate,False,False
16,Female,4.69,Laptop,True,0.44,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
12,Female,5.37,TV,True,0.5,Eye Strain,Rural,10–13,High,True,True
11,Male,6.29,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,10–13,Very High,True,True
17,Female,5.07,Smartphone,True,0.35,Eye Strain,Urban,14–18,High,True,True
10,Female,4.27,TV,True,0.5,Eye Strain,Urban,10–13,High,True,True
13,Male,5.3,Smartphone,True,0.45,Poor Sleep,Urban,10–13,High,True,True
12,Female,3.13,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Urban,10–13,Moderate,False,False
12,Male,4.01,Laptop,True,0.46,Eye Strain,Urban,10–13,High,True,True
18,Female,5.1,Smartphone,True,0.37,Poor Sleep,Urban,14–18,High,True,True
12,Male,4.89,Smartphone,True,0.33,Poor Sleep,Urban,10–13,High,True,True
8,Male,5.05,TV,True,0.54,Obesity Risk,Rural,0–9,High,True,True
10,Female,4.58,Smartphone,True,0.44,"Poor Sleep, Obesity Risk",Rural,10–13,High,True,True
17,Female,5.57,Tablet,True,0.32,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Male,4.63,Laptop,True,0.46,"Eye Strain, Obesity Risk",Urban,10–13,High,True,True
12,Male,3.6,Smartphone,True,0.31,Poor Sleep,Urban,10–13,Moderate,False,False
15,Female,4.84,TV,True,0.38,Poor Sleep,Urban,14–18,High,True,True
18,Male,3.66,Tablet,True,0.43,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
18,Male,4.91,Laptop,True,0.3,Obesity Risk,Urban,14–18,High,True,True
9,Male,4.34,Tablet,True,0.56,"Eye Strain, Anxiety",Urban,0–9,High,True,True
16,Male,6.37,Laptop,True,0.36,"Poor Sleep, Eye Strain, Obesity Risk",Urban,14–18,Very High,True,True
16,Female,5.35,Smartphone,True,0.3,Poor Sleep,Rural,14–18,High,True,True
15,Female,3.28,Laptop,True,0.39,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,Moderate,False,False
18,Male,3.19,TV,True,0.46,"Poor Sleep, Obesity Risk",Urban,14–18,Moderate,False,False
14,Male,4.94,Smartphone,True,0.4,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
13,Female,5.3,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
11,Male,3.95,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,10–13,Moderate,False,False
14,Male,3.06,Smartphone,True,0.33,Poor Sleep,Urban,14–18,Moderate,False,False
11,Male,3.23,TV,True,0.3,Eye Strain,Urban,10–13,Moderate,False,False
9,Male,4.24,Tablet,True,0.55,Obesity Risk,Rural,0–9,High,True,True
17,Female,6.87,Laptop,True,0.5,Poor Sleep,Urban,14–18,Very High,True,True
14,Male,4.89,Tablet,True,0.48,Eye Strain,Rural,14–18,High,True,True
15,Female,3.56,Laptop,True,0.37,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
9,Male,3.48,Smartphone,True,0.46,Anxiety,Urban,0–9,Moderate,False,False
12,Male,5.32,Smartphone,True,0.47,Eye Strain,Urban,10–13,High,True,True
8,Male,6.34,TV,True,0.52,Eye Strain,Urban,0–9,Very High,True,True
14,Female,4.84,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
15,Male,7.04,Smartphone,True,0.31,Poor Sleep,Urban,14–18,Very High,True,True
13,Male,5.11,Laptop,True,0.49,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
12,Male,4.03,TV,True,0.5,Eye Strain,Rural,10–13,High,True,True
8,Female,5.98,Tablet,True,0.44,Poor Sleep,Rural,0–9,High,True,True
14,Female,3.54,TV,True,0.32,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
17,Male,5.46,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
18,Female,3.67,Smartphone,True,0.41,Poor Sleep,Rural,14–18,Moderate,False,False
17,Male,4.17,Smartphone,True,0.48,Obesity Risk,Rural,14–18,High,True,True
9,Female,3.11,Smartphone,True,0.52,Poor Sleep,Urban,0–9,Moderate,False,False
17,Female,4.04,TV,True,0.33,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
15,Female,4.15,Tablet,True,0.33,"Poor Sleep, Obesity Risk",Rural,14–18,High,True,True
8,Female,8.79,Smartphone,True,0.56,"Poor Sleep, Obesity Risk",Urban,0–9,Very High,True,True
18,Female,5.61,Smartphone,True,0.39,Poor Sleep,Urban,14–18,High,True,True
15,Female,4.4,Laptop,True,0.32,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
16,Male,3.46,Smartphone,True,0.41,Obesity Risk,Urban,14–18,Moderate,False,False
11,Male,4.11,TV,True,0.38,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,High,True,True
8,Male,3.04,Smartphone,True,0.44,Obesity Risk,Rural,0–9,Moderate,False,False
10,Male,3.03,TV,True,0.44,Poor Sleep,Urban,10–13,Moderate,False,False
12,Female,5.05,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
16,Female,6.04,Laptop,True,0.33,Poor Sleep,Rural,14–18,Very High,True,True
9,Female,5.49,Smartphone,True,0.6,Poor Sleep,Urban,0–9,High,True,True
9,Male,3.6,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,0–9,Moderate,False,False
13,Male,3.61,Smartphone,True,0.32,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,Moderate,False,False
16,Male,3.45,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
8,Female,5.83,TV,True,0.6,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0–9,High,True,True
16,Female,4.34,Smartphone,True,0.32,"Anxiety, Obesity Risk",Urban,14–18,High,True,True
16,Female,4.26,TV,True,0.47,Eye Strain,Urban,14–18,High,True,True
16,Male,5.23,Smartphone,True,0.34,Poor Sleep,Urban,14–18,High,True,True
12,Female,5.83,Laptop,True,0.4,Eye Strain,Urban,10–13,High,True,True
16,Male,4.96,Tablet,True,0.32,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
18,Male,3.45,Laptop,True,0.35,Poor Sleep,Urban,14–18,Moderate,False,False
11,Male,5.17,TV,True,0.48,Poor Sleep,Urban,10–13,High,True,True
9,Female,8.01,Smartphone,True,0.56,Obesity Risk,Urban,0–9,Very High,True,True
13,Male,4.47,TV,True,0.36,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,High,True,True
11,Male,5.5,Laptop,True,0.43,Poor Sleep,Urban,10–13,High,True,True
13,Male,3.85,Smartphone,True,0.41,Poor Sleep,Urban,10–13,Moderate,False,False
10,Female,4.62,Smartphone,True,0.55,"Poor Sleep, Eye Strain",Rural,10–13,High,True,True
9,Female,8.95,Smartphone,True,0.55,Poor Sleep,Rural,0–9,Very High,True,True
16,Female,3.28,TV,True,0.4,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,Moderate,False,False
14,Male,4.84,Smartphone,True,0.5,"Poor Sleep, Eye Strain, Obesity Risk",Urban,14–18,High,True,True
