Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural
11,Male,5.5,Laptop,TRUE,0.43,Poor Sleep,Urban
13,Male,3.85,Smartphone,TRUE,0.41,Poor Sleep,Urban
10,Female,4.62,Smartphone,TRUE,0.55,"Poor Sleep, Eye Strain",Rural
13,Male,3.12,Smartphone,TRUE,0.49,None,Urban
9,Female,8.95,Smartphone,TRUE,0.55,Poor Sleep,Rural
9,Male,2.61,TV,TRUE,0.46,None,Urban
16,Female,3.28,TV,TRUE,0.4,"Poor Sleep, Eye Strain, Anxiety",Urban
14,Male,4.84,Smartphone,TRUE,0.5,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Female,7.51,TV,TRUE,0.48,"Poor Sleep, Obesity Risk",Rural
18,Female,5.47,Tablet,TRUE,0.4,"Eye Strain, Anxiety",Urban
8,Male,4.05,Tablet,TRUE,0.44,None,Urban
15,Male,2.97,Smartphone,FALSE,0.4,None,Urban
13,Male,4.46,Laptop,TRUE,0.39,Poor Sleep,Urban
14,Male,5.31,Tablet,TRUE,0.4,Poor Sleep,Urban
16,Female,4.19,Laptop,TRUE,0.47,"Poor Sleep, Anxiety",Urban
12,Female,4.34,Tablet,TRUE,0.43,"Poor Sleep, Anxiety",Urban
8,Male,3.3,Smartphone,TRUE,0.48,Eye Strain,Urban
17,Male,5.25,Smartphone,TRUE,0.3,"Eye Strain, Anxiety",Rural
14,Female,7.67,Smartphone,TRUE,0.33,None,Urban
12,Female,3.58,Laptop,TRUE,0.4,Poor Sleep,Urban
10,Female,7.85,Tablet,TRUE,0.46,Poor Sleep,Rural
16,Male,4.28,Smartphone,TRUE,0.45,Poor Sleep,Rural
8,Female,4.84,Smartphone,TRUE,0.46,Poor Sleep,Rural
8,Male,6.25,TV,TRUE,0.47,Poor Sleep,Urban
8,Male,5.86,Tablet,TRUE,0.47,Poor Sleep,Rural
10,Male,3.62,Tablet,TRUE,0.52,"Eye Strain, Anxiety",Urban
13,Female,5.62,Laptop,TRUE,0.31,None,Urban
17,Male,4.96,Smartphone,TRUE,0.49,None,Rural
18,Male,5.48,Smartphone,TRUE,0.46,"Poor Sleep, Anxiety",Urban
10,Male,2.38,TV,TRUE,0.6,None,Rural
15,Male,2.81,Laptop,FALSE,0.46,None,Rural
17,Male,4.39,TV,TRUE,0.39,"Poor Sleep, Eye Strain",Rural
9,Male,4.92,TV,TRUE,0.57,"Poor Sleep, Anxiety",Rural
16,Female,6.94,Smartphone,TRUE,0.41,Poor Sleep,Urban
10,Female,0.8,TV,FALSE,0.45,None,Rural
12,Female,3.79,TV,TRUE,0.4,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17,Male,3.13,Smartphone,TRUE,0.36,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban
15,Female,1.98,Laptop,FALSE,0.46,None,Rural
9,Female,0,Tablet,FALSE,0.48,None,Urban
13,Male,7.05,TV,TRUE,0.37,Poor Sleep,Rural
12,Female,3.61,Laptop,TRUE,0.42,None,Rural
17,Male,5.89,Smartphone,TRUE,0.39,"Poor Sleep, Eye Strain",Urban
16,Male,5.41,Smartphone,TRUE,0.32,Poor Sleep,Rural
12,Male,5.71,TV,TRUE,0.46,"Poor Sleep, Eye Strain",Urban
9,Female,4.75,TV,TRUE,0.53,Poor Sleep,Urban
12,Female,3.15,Smartphone,TRUE,0.37,"Poor Sleep, Anxiety",Urban
11,Male,3.68,TV,TRUE,0.4,"Eye Strain, Obesity Risk",Urban
18,Male,3.98,Tablet,TRUE,0.49,"Poor Sleep, Obesity Risk",Urban
14,Male,5.43,Laptop,TRUE,0.5,None,Urban
13,Female,3.63,Smartphone,TRUE,0.37,Eye Strain,Urban
9,Female,0.96,Smartphone,FALSE,0.44,None,Rural
18,Male,4.13,Smartphone,TRUE,0.46,None,Urban
18,Male,5.33,TV,TRUE,0.37,Poor Sleep,Rural
12,Female,5.88,Smartphone,TRUE,0.36,"Anxiety, Obesity Risk",Urban
14,Female,4.85,Smartphone,TRUE,0.38,"Poor Sleep, Anxiety",Rural
18,Female,4.12,Laptop,TRUE,0.37,"Poor Sleep, Eye Strain",Urban
14,Female,5.72,Smartphone,TRUE,0.46,"Poor Sleep, Anxiety",Urban
12,Female,3.38,Tablet,TRUE,0.33,Anxiety,Urban
16,Male,5.43,Smartphone,TRUE,0.45,Poor Sleep,Rural
11,Female,3.4,Smartphone,TRUE,0.33,Poor Sleep,Urban
18,Male,2.65,TV,FALSE,0.42,None,Rural
10,Female,1.77,Tablet,FALSE,0.47,None,Urban
11,Female,5.21,Smartphone,TRUE,0.45,Anxiety,Urban
12,Female,5.33,Laptop,TRUE,0.31,Anxiety,Urban
13,Male,5.85,Smartphone,TRUE,0.44,Poor Sleep,Rural
10,Male,2.36,TV,TRUE,0.46,None,Rural
9,Male,6.46,Smartphone,TRUE,0.44,"Poor Sleep, Eye Strain",Urban
11,Female,3.88,Smartphone,TRUE,0.36,Anxiety,Urban
12,Female,3.8,Laptop,TRUE,0.38,"Poor Sleep, Obesity Risk",Urban
11,Female,2.23,Laptop,FALSE,0.44,None,Urban
18,Male,5.48,Smartphone,TRUE,0.44,"Poor Sleep, Eye Strain",Urban
10,Female,0,Tablet,FALSE,0.49,None,Urban
15,Female,6.11,Tablet,TRUE,0.49,Eye Strain,Urban
17,Male,4.3,Smartphone,TRUE,0.49,Poor Sleep,Rural
11,Male,4.03,Tablet,TRUE,0.3,"Poor Sleep, Eye Strain, Anxiety",Urban
9,Female,6.3,Smartphone,TRUE,0.56,"Poor Sleep, Eye Strain, Obesity Risk",Urban
9,Male,3.13,TV,TRUE,0.5,Eye Strain,Urban
8,Male,6.22,Tablet,TRUE,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural
11,Male,3.72,Smartphone,TRUE,0.37,Poor Sleep,Urban
17,Male,3.05,TV,TRUE,0.34,Poor Sleep,Rural
16,Male,5.01,Laptop,TRUE,0.4,Poor Sleep,Urban
18,Male,2.98,Laptop,FALSE,0.36,None,Rural
14,Male,5.57,Smartphone,TRUE,0.3,Obesity Risk,Urban
17,Female,5.33,Smartphone,TRUE,0.49,"Poor Sleep, Eye Strain",Urban
14,Male,2.76,Laptop,FALSE,0.45,None,Rural
14,Male,6.21,Smartphone,TRUE,0.42,Poor Sleep,Urban
15,Male,5.75,Smartphone,TRUE,0.44,Obesity Risk,Urban
8,Female,5.35,TV,TRUE,0.52,Poor Sleep,Urban
17,Female,3.73,Smartphone,TRUE,0.33,"Poor Sleep, Obesity Risk",Urban
17,Male,3.79,TV,TRUE,0.39,"Poor Sleep, Eye Strain",Urban
15,Female,4.38,Tablet,TRUE,0.5,"Poor Sleep, Eye Strain",Rural
11,Female,3.91,TV,TRUE,0.31,"Poor Sleep, Eye Strain",Urban
11,Male,3.45,Laptop,TRUE,0.35,Poor Sleep,Urban
11,Female,5.05,TV,TRUE,0.43,"Eye Strain, Obesity Risk",Urban
13,Male,4.3,Smartphone,TRUE,0.5,"Poor Sleep, Anxiety",Rural
14,Male,4.81,Smartphone,TRUE,0.39,Eye Strain,Rural
13,Male,4,Tablet,TRUE,0.42,None,Urban
8,Female,0,Smartphone,FALSE,0.56,None,Urban
15,Female,6.14,Smartphone,TRUE,0.35,Poor Sleep,Urban
17,Male,4.85,Tablet,TRUE,0.42,None,Urban
18,Male,2.79,Smartphone,FALSE,0.4,None,Rural
14,Male,3.83,Smartphone,TRUE,0.42,Poor Sleep,Rural
13,Female,4.9,Laptop,TRUE,0.48,"Poor Sleep, Eye Strain",Urban
13,Female,2.72,Smartphone,FALSE,0.42,None,Rural
12,Male,5.09,Smartphone,TRUE,0.46,Poor Sleep,Urban
13,Female,4.54,Smartphone,TRUE,0.4,None,Urban
16,Male,4.04,Laptop,TRUE,0.38,"Eye Strain, Obesity Risk",Urban
17,Female,6.02,Smartphone,TRUE,0.44,"Poor Sleep, Obesity Risk",Rural
16,Female,2.84,Laptop,FALSE,0.32,None,Urban
17,Female,6.75,TV,TRUE,0.5,"Poor Sleep, Obesity Risk",Rural
15,Female,3.58,Laptop,TRUE,0.44,None,Urban
17,Female,3.38,Laptop,TRUE,0.49,"Poor Sleep, Anxiety",Rural
16,Male,5.51,Laptop,TRUE,0.48,Poor Sleep,Urban
17,Female,3.11,Smartphone,TRUE,0.49,Poor Sleep,Urban
15,Male,4.08,TV,TRUE,0.36,Eye Strain,Urban
15,Female,6.13,TV,TRUE,0.43,None,Urban
8,Female,1.32,Tablet,FALSE,0.53,None,Urban
17,Male,3.58,TV,TRUE,0.33,None,Urban
18,Male,2.28,Smartphone,FALSE,0.39,None,Urban
12,Male,6.38,Smartphone,TRUE,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Male,4,Smartphone,TRUE,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban
9,Male,4.87,Smartphone,TRUE,0.53,Poor Sleep,Rural
15,Male,3.19,Smartphone,TRUE,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban
10,Female,2.29,Smartphone,TRUE,0.5,None,Urban
11,Female,6.32,Laptop,TRUE,0.49,Poor Sleep,Urban
14,Female,3.12,Smartphone,TRUE,0.43,Obesity Risk,Urban
17,Female,4.22,TV,TRUE,0.31,None,Rural
16,Female,6.19,Laptop,TRUE,0.39,Poor Sleep,Rural
9,Male,7.64,Smartphone,TRUE,0.45,Poor Sleep,Urban
10,Female,5.33,Smartphone,TRUE,0.53,None,Urban
11,Male,2.71,Smartphone,FALSE,0.34,None,Urban
17,Male,4.04,Smartphone,TRUE,0.35,None,Urban
8,Male,6.81,TV,TRUE,0.41,Poor Sleep,Urban
14,Female,5.7,Smartphone,TRUE,0.33,"Poor Sleep, Eye Strain, Anxiety",Rural
9,Female,7.32,TV,TRUE,0.55,Poor Sleep,Urban
12,Male,2.7,Laptop,FALSE,0.36,None,Rural
8,Female,2.29,Smartphone,TRUE,0.42,None,Urban
10,Male,5.64,TV,TRUE,0.52,None,Urban
9,Male,4.07,TV,TRUE,0.58,"Poor Sleep, Eye Strain, Obesity Risk",Urban
8,Female,2.36,Smartphone,TRUE,0.52,None,Urban
14,Male,4.17,Smartphone,TRUE,0.32,Poor Sleep,Urban
12,Female,5.64,Smartphone,TRUE,0.43,"Poor Sleep, Obesity Risk",Urban
8,Female,2,Tablet,FALSE,0.41,None,Rural
13,Male,4.97,Smartphone,TRUE,0.44,Anxiety,Urban
12,Female,1.99,Laptop,FALSE,0.38,None,Rural
10,Male,8.55,Tablet,TRUE,0.45,Poor Sleep,Urban
14,Female,3.96,Smartphone,TRUE,0.47,None,Rural
18,Female,5.19,Smartphone,TRUE,0.48,None,Urban
17,Female,3.69,Tablet,TRUE,0.46,Obesity Risk,Urban
16,Male,2.92,Smartphone,FALSE,0.4,None,Urban
16,Female,5.74,Smartphone,TRUE,0.43,"Eye Strain, Obesity Risk",Rural
16,Male,4.67,Smartphone,TRUE,0.47,"Poor Sleep, Eye Strain",Urban
9,Female,4.76,Smartphone,TRUE,0.43,Poor Sleep,Urban
10,Female,0.52,Smartphone,FALSE,0.48,None,Urban
14,Male,5.72,Smartphone,TRUE,0.39,"Eye Strain, Anxiety",Urban
12,Male,4.11,Laptop,TRUE,0.44,Poor Sleep,Rural
9,Male,0.12,TV,FALSE,0.48,None,Urban
10,Female,1.9,Smartphone,FALSE,0.52,None,Rural
17,Male,2.68,TV,FALSE,0.34,None,Urban
13,Male,3.64,Smartphone,TRUE,0.31,Eye Strain,Urban
14,Female,4.51,Laptop,TRUE,0.47,None,Rural
16,Female,4.45,Smartphone,TRUE,0.48,Poor Sleep,Urban
8,Male,8.51,TV,TRUE,0.49,Poor Sleep,Urban
18,Male,5.82,Smartphone,TRUE,0.46,"Poor Sleep, Obesity Risk",Urban
14,Female,6.66,Smartphone,TRUE,0.5,None,Rural
15,Male,4.28,Smartphone,TRUE,0.47,"Poor Sleep, Anxiety",Rural
10,Male,5.7,Tablet,TRUE,0.55,Poor Sleep,Rural
11,Male,3.46,Smartphone,TRUE,0.34,"Poor Sleep, Eye Strain",Rural
17,Male,4.83,Laptop,TRUE,0.38,None,Rural
13,Male,4.5,TV,TRUE,0.4,"Poor Sleep, Anxiety",Urban
17,Female,1.06,Laptop,FALSE,0.39,None,Rural
14,Male,5.39,Smartphone,TRUE,0.36,None,Urban
11,Female,5.53,TV,TRUE,0.42,Anxiety,Rural
15,Male,5,TV,TRUE,0.47,Eye Strain,Rural
12,Male,3.44,Smartphone,TRUE,0.46,Poor Sleep,Urban
8,Female,0,TV,FALSE,0.4,None,Urban
11,Male,5,Laptop,TRUE,0.49,"Poor Sleep, Anxiety",Urban
10,Male,4.02,Tablet,TRUE,0.5,"Eye Strain, Obesity Risk",Urban
16,Male,4.26,Tablet,TRUE,0.43,Poor Sleep,Urban
15,Female,4.93,TV,TRUE,0.49,Eye Strain,Urban
8,Male,2.33,TV,TRUE,0.54,None,Rural
18,Male,3.39,Smartphone,TRUE,0.36,Poor Sleep,Urban
13,Female,5.27,TV,TRUE,0.45,Eye Strain,Urban
16,Female,3.07,Smartphone,TRUE,0.41,None,Urban
14,Male,4.56,TV,TRUE,0.46,"Eye Strain, Anxiety",Urban
11,Male,3.9,Smartphone,TRUE,0.48,None,Rural
8,Male,1.91,Smartphone,FALSE,0.57,None,Urban
9,Female,7.4,Smartphone,TRUE,0.52,"Poor Sleep, Obesity Risk",Urban
12,Male,5.18,Laptop,TRUE,0.41,"Poor Sleep, Eye Strain, Anxiety",Urban
18,Male,4.62,Smartphone,TRUE,0.5,Obesity Risk,Urban
12,Male,3.37,Laptop,TRUE,0.32,Poor Sleep,Urban
15,Female,5.62,Smartphone,TRUE,0.37,"Poor Sleep, Obesity Risk",Rural
13,Male,4.71,Laptop,TRUE,0.45,Poor Sleep,Rural
15,Female,5.35,Smartphone,TRUE,0.42,"Poor Sleep, Anxiety",Rural
9,Male,2.19,Tablet,TRUE,0.41,None,Urban
10,Female,6.13,TV,TRUE,0.42,"Poor Sleep, Eye Strain",Urban
13,Female,5.16,Smartphone,TRUE,0.47,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban
17,Male,6.4,TV,TRUE,0.41,"Poor Sleep, Anxiety",Urban
10,Female,5.66,Smartphone,TRUE,0.49,"Eye Strain, Anxiety",Urban
13,Male,2.58,TV,FALSE,0.32,None,Urban
13,Male,4.41,Smartphone,TRUE,0.34,Poor Sleep,Urban
9,Female,1.03,Tablet,FALSE,0.4,None,Urban
14,Male,4.37,Smartphone,TRUE,0.44,"Eye Strain, Obesity Risk",Rural
9,Male,6,Smartphone,TRUE,0.43,"Eye Strain, Anxiety, Obesity Risk",Urban
13,Male,3.82,Smartphone,TRUE,0.37,Eye Strain,Urban
8,Male,3.55,TV,TRUE,0.42,None,Urban
10,Male,0,Tablet,FALSE,0.52,None,Rural
9,Female,1.7,TV,FALSE,0.46,None,Urban
14,Male,3.48,Laptop,TRUE,0.31,Poor Sleep,Urban
11,Female,7.78,Smartphone,TRUE,0.45,None,Urban
15,Female,4.11,Smartphone,TRUE,0.32,Poor Sleep,Urban
13,Female,4.92,TV,TRUE,0.49,"Eye Strain, Anxiety",Urban
17,Male,4.73,TV,TRUE,0.37,"Poor Sleep, Obesity Risk",Urban
11,Female,5.63,TV,TRUE,0.43,Anxiety,Urban
12,Female,4.75,TV,TRUE,0.36,"Poor Sleep, Eye Strain",Urban
16,Male,5.16,Laptop,TRUE,0.47,"Poor Sleep, Eye Strain",Rural
14,Male,4.7,TV,TRUE,0.41,"Poor Sleep, Obesity Risk",Urban
17,Female,5.18,TV,TRUE,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Urban
16,Male,7.11,Smartphone,TRUE,0.39,"Poor Sleep, Anxiety",Rural
14,Male,5.46,Laptop,TRUE,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural
8,Female,3.19,TV,TRUE,0.44,"Poor Sleep, Eye Strain",Urban
15,Female,4.97,Laptop,TRUE,0.41,None,Rural
11,Male,6.37,Tablet,TRUE,0.33,None,Urban
10,Female,2.67,Smartphone,TRUE,0.59,None,Urban
14,Female,4.61,Smartphone,TRUE,0.5,Poor Sleep,Rural
10,Male,3.91,TV,TRUE,0.5,Poor Sleep,Rural
15,Male,2.16,Smartphone,FALSE,0.47,None,Urban
13,Female,5.3,TV,TRUE,0.49,"Eye Strain, Anxiety",Urban
12,Male,4.46,Smartphone,TRUE,0.41,Anxiety,Rural
11,Male,4.55,TV,TRUE,0.45,None,Urban
15,Male,3.85,Smartphone,TRUE,0.48,"Eye Strain, Anxiety",Rural
15,Male,3.43,Tablet,TRUE,0.38,"Poor Sleep, Obesity Risk",Urban
8,Male,5.92,TV,TRUE,0.44,Poor Sleep,Rural
16,Female,1.62,TV,FALSE,0.44,None,Rural
12,Female,4.06,TV,TRUE,0.49,Poor Sleep,Urban
11,Female,4.49,Laptop,TRUE,0.34,None,Urban
13,Male,4.46,Smartphone,TRUE,0.42,None,Urban
13,Male,3.74,Smartphone,TRUE,0.49,None,Rural
9,Male,4.35,Smartphone,TRUE,0.54,Poor Sleep,Urban
15,Male,3.71,Smartphone,TRUE,0.42,Poor Sleep,Urban
14,Male,5.48,Laptop,TRUE,0.45,Anxiety,Rural
8,Male,0,TV,FALSE,0.56,None,Rural
12,Male,4.78,Smartphone,TRUE,0.45,Eye Strain,Urban
13,Female,2.28,Smartphone,FALSE,0.42,None,Rural
11,Male,4.8,Smartphone,TRUE,0.47,Poor Sleep,Urban
9,Male,2.59,Tablet,TRUE,0.47,None,Rural
11,Male,7.07,Laptop,TRUE,0.35,Poor Sleep,Urban
8,Male,6.63,TV,TRUE,0.52,"Poor Sleep, Eye Strain",Urban
14,Male,5.4,TV,TRUE,0.41,None,Rural
9,Female,5.81,TV,TRUE,0.56,None,Urban
9,Female,1.47,TV,FALSE,0.47,None,Rural
16,Male,4.05,Smartphone,TRUE,0.39,"Poor Sleep, Eye Strain",Urban
12,Female,3.8,Smartphone,TRUE,0.32,"Eye Strain, Anxiety",Urban
9,Female,3.74,Smartphone,TRUE,0.48,None,Rural
18,Male,5.36,TV,TRUE,0.33,Eye Strain,Urban
16,Male,5.36,TV,TRUE,0.41,"Anxiety, Obesity Risk",Urban
16,Female,4.89,Laptop,TRUE,0.35,"Poor Sleep, Eye Strain",Rural
8,Female,6.49,Tablet,TRUE,0.41,Poor Sleep,Rural
18,Female,2.87,Tablet,FALSE,0.43,None,Urban
10,Female,0,Smartphone,FALSE,0.48,None,Urban
11,Female,3.71,TV,TRUE,0.42,Eye Strain,Urban
14,Male,6.35,Smartphone,TRUE,0.31,None,Urban
17,Female,3.07,Smartphone,TRUE,0.33,"Poor Sleep, Anxiety",Urban
11,Female,4,TV,TRUE,0.48,Poor Sleep,Rural
9,Male,7.12,Smartphone,TRUE,0.54,Poor Sleep,Urban
14,Male,2.87,Smartphone,FALSE,0.4,None,Urban
13,Male,6.52,Laptop,TRUE,0.3,None,Urban
10,Female,0,Tablet,FALSE,0.45,None,Rural
13,Female,2.81,TV,FALSE,0.4,None,Urban
18,Female,3.46,TV,TRUE,0.33,"Poor Sleep, Eye Strain",Rural
13,Male,6.51,Tablet,TRUE,0.42,"Poor Sleep, Obesity Risk",Urban
12,Male,5.39,Smartphone,TRUE,0.46,Poor Sleep,Urban
11,Male,5.32,TV,TRUE,0.36,"Poor Sleep, Eye Strain",Urban
17,Male,4.53,Smartphone,TRUE,0.48,"Poor Sleep, Obesity Risk",Urban
8,Male,5.89,TV,TRUE,0.46,"Poor Sleep, Obesity Risk",Urban
17,Male,2.41,Laptop,FALSE,0.31,None,Urban
13,Female,5.35,Smartphone,TRUE,0.43,Anxiety,Rural
9,Female,0,Tablet,FALSE,0.51,None,Urban
10,Male,7.77,TV,TRUE,0.58,Poor Sleep,Urban
15,Male,5.08,Smartphone,TRUE,0.43,Poor Sleep,Urban
17,Female,2.92,Smartphone,FALSE,0.37,None,Urban
13,Female,3.14,Smartphone,TRUE,0.35,Poor Sleep,Urban
10,Female,4.6,TV,TRUE,0.53,Poor Sleep,Urban
14,Male,3.11,Smartphone,TRUE,0.45,"Poor Sleep, Eye Strain",Urban
11,Male,3.11,Smartphone,TRUE,0.46,Eye Strain,Rural
16,Female,4.4,TV,TRUE,0.32,Anxiety,Urban
12,Female,4.59,TV,TRUE,0.31,"Eye Strain, Obesity Risk",Urban
10,Male,3.47,TV,TRUE,0.55,None,Rural
9,Male,3.64,TV,TRUE,0.41,Poor Sleep,Rural
18,Male,3.32,Smartphone,TRUE,0.39,Poor Sleep,Urban
9,Female,3.62,TV,TRUE,0.48,Poor Sleep,Urban
10,Female,0,Smartphone,FALSE,0.6,None,Rural
9,Female,0,TV,FALSE,0.5,None,Urban
11,Female,4.02,TV,TRUE,0.47,Poor Sleep,Urban
9,Female,0,Smartphone,FALSE,0.59,None,Urban
17,Male,5.46,Tablet,TRUE,0.32,"Poor Sleep, Eye Strain, Anxiety",Rural
16,Male,4.94,Smartphone,TRUE,0.39,None,Rural
9,Male,7.91,Tablet,TRUE,0.49,"Poor Sleep, Eye Strain",Urban
16,Female,4.42,Laptop,TRUE,0.45,"Poor Sleep, Eye Strain, Anxiety",Urban
13,Female,4.49,Tablet,TRUE,0.41,"Poor Sleep, Eye Strain, Anxiety",Urban
8,Male,7.07,TV,TRUE,0.41,None,Urban
11,Female,4.18,Smartphone,TRUE,0.37,"Poor Sleep, Eye Strain, Anxiety",Rural
8,Male,0.68,Smartphone,FALSE,0.56,None,Rural
13,Female,3.2,Smartphone,TRUE,0.43,"Poor Sleep, Eye Strain",Urban
11,Male,4.76,Smartphone,TRUE,0.42,"Poor Sleep, Anxiety",Rural
10,Male,7.08,Smartphone,TRUE,0.58,Poor Sleep,Urban
10,Female,0,TV,FALSE,0.45,None,Rural
16,Female,4.91,Smartphone,TRUE,0.39,Poor Sleep,Rural
13,Female,5.41,Laptop,TRUE,0.39,Poor Sleep,Urban
16,Female,5.54,Smartphone,TRUE,0.44,None,Urban
12,Male,4.87,TV,TRUE,0.49,Eye Strain,Urban
9,Male,3.78,TV,TRUE,0.46,None,Urban
15,Female,5.84,Smartphone,TRUE,0.37,Poor Sleep,Rural
12,Female,4.84,Laptop,TRUE,0.47,None,Urban
9,Male,0.75,TV,FALSE,0.5,None,Rural
11,Female,4.45,TV,TRUE,0.45,Poor Sleep,Urban
16,Male,2.39,Smartphone,FALSE,0.34,None,Urban
11,Female,4.14,Smartphone,TRUE,0.47,None,Urban
11,Female,3.25,Tablet,TRUE,0.47,None,Urban
9,Male,3.53,Smartphone,TRUE,0.48,None,Rural
13,Female,2.51,Tablet,FALSE,0.43,None,Rural
18,Female,4.08,Smartphone,TRUE,0.35,Poor Sleep,Urban
9,Female,2.37,Tablet,TRUE,0.56,None,Urban
14,Female,3.68,TV,TRUE,0.31,None,Urban
10,Female,7.18,TV,TRUE,0.56,"Poor Sleep, Eye Strain",Urban
10,Female,3.15,Tablet,TRUE,0.57,"Poor Sleep, Eye Strain",Urban
12,Male,5.49,Smartphone,TRUE,0.34,Eye Strain,Rural
10,Female,5.14,Tablet,TRUE,0.51,None,Urban
9,Female,0.52,Smartphone,FALSE,0.42,None,Rural
17,Male,4.21,Smartphone,TRUE,0.33,Poor Sleep,Urban
16,Male,3.57,Smartphone,TRUE,0.47,None,Rural
9,Male,5.29,Smartphone,TRUE,0.52,Eye Strain,Urban
18,Male,4.89,Smartphone,TRUE,0.35,None,Urban
9,Male,3.21,TV,TRUE,0.48,"Poor Sleep, Anxiety",Rural
15,Female,5.65,Tablet,TRUE,0.44,"Poor Sleep, Anxiety",Urban
16,Male,5.26,Smartphone,TRUE,0.45,"Poor Sleep, Eye Strain",Urban
14,Male,5.24,Laptop,TRUE,0.32,None,Rural
10,Female,5.01,Smartphone,TRUE,0.5,Anxiety,Urban
16,Male,4.33,Smartphone,TRUE,0.31,Obesity Risk,Urban
10,Female,4.29,Smartphone,TRUE,0.43,Poor Sleep,Urban
12,Male,3.14,TV,TRUE,0.34,None,Rural
16,Female,4.8,Laptop,TRUE,0.34,"Poor Sleep, Eye Strain",Urban
10,Male,6.25,TV,TRUE,0.44,"Poor Sleep, Obesity Risk",Urban
14,Female,7.3,Smartphone,TRUE,0.34,"Poor Sleep, Eye Strain",Urban
8,Female,8.63,Smartphone,TRUE,0.41,"Poor Sleep, Obesity Risk",Urban
11,Female,5.2,Laptop,TRUE,0.5,Anxiety,Urban
11,Male,2.89,Smartphone,FALSE,0.36,None,Rural
14,Female,4.22,Smartphone,TRUE,0.46,"Anxiety, Obesity Risk",Rural
15,Female,4.43,TV,TRUE,0.36,"Poor Sleep, Eye Strain",Urban
8,Male,3.41,TV,TRUE,0.51,Poor Sleep,Urban
12,Female,5.22,TV,TRUE,0.41,Eye Strain,Rural
14,Male,4.33,Smartphone,TRUE,0.38,Poor Sleep,Urban
11,Male,3.25,Tablet,TRUE,0.3,Poor Sleep,Urban
11,Male,4.03,TV,TRUE,0.39,Obesity Risk,Urban
11,Male,4.16,Laptop,TRUE,0.32,None,Urban
13,Female,4.41,Smartphone,TRUE,0.31,"Poor Sleep, Eye Strain, Anxiety",Rural
14,Female,4.92,Laptop,TRUE,0.31,"Poor Sleep, Anxiety",Urban
9,Male,2.32,TV,TRUE,0.42,None,Urban
12,Female,2.41,TV,FALSE,0.47,None,Rural
11,Male,3.42,TV,TRUE,0.31,None,Rural
10,Male,5.51,Tablet,TRUE,0.54,None,Rural
14,Male,3.67,Laptop,TRUE,0.35,None,Urban
18,Female,5.05,Laptop,TRUE,0.32,Eye Strain,Urban
13,Female,4.18,Smartphone,TRUE,0.37,Poor Sleep,Urban
14,Female,6.23,TV,TRUE,0.43,Eye Strain,Urban
12,Male,5.85,Smartphone,TRUE,0.49,None,Rural
13,Female,6.12,TV,TRUE,0.36,"Poor Sleep, Eye Strain",Urban
12,Female,4.24,Laptop,TRUE,0.43,"Eye Strain, Obesity Risk",Rural
14,Female,3.39,Laptop,TRUE,0.38,None,Urban
9,Male,2.75,Smartphone,TRUE,0.51,None,Urban
18,Male,5.54,Laptop,TRUE,0.43,Anxiety,Urban
12,Female,1.57,Laptop,FALSE,0.49,None,Rural
13,Female,3.79,Laptop,TRUE,0.31,Poor Sleep,Rural
13,Male,2.71,Laptop,FALSE,0.45,None,Urban
12,Male,5.04,Smartphone,TRUE,0.36,"Poor Sleep, Eye Strain",Rural
17,Female,5.83,Smartphone,TRUE,0.5,"Poor Sleep, Eye Strain, Anxiety",Urban
14,Male,4.27,Smartphone,TRUE,0.38,Poor Sleep,Urban
17,Female,5.82,Laptop,TRUE,0.47,Poor Sleep,Urban
15,Male,3.06,Smartphone,TRUE,0.45,None,Urban
14,Female,6.12,Laptop,TRUE,0.49,Poor Sleep,Rural
12,Male,4.61,Laptop,TRUE,0.43,"Poor Sleep, Eye Strain",Rural
8,Male,0,Smartphone,FALSE,0.59,None,Urban
12,Female,5.92,Laptop,TRUE,0.46,"Poor Sleep, Anxiety",Rural
17,Female,5.68,Laptop,TRUE,0.37,"Poor Sleep, Obesity Risk",Urban
9,Female,2.37,TV,TRUE,0.54,None,Urban
12,Male,4.8,Smartphone,TRUE,0.49,"Poor Sleep, Eye Strain",Urban
12,Female,6.42,Smartphone,TRUE,0.41,Poor Sleep,Urban
9,Male,5.65,Smartphone,TRUE,0.58,Poor Sleep,Urban
12,Male,7.05,Smartphone,TRUE,0.45,None,Rural
11,Female,4.08,Laptop,TRUE,0.46,"Poor Sleep, Eye Strain",Urban
8,Male,7.65,Smartphone,TRUE,0.57,Obesity Risk,Urban
10,Male,4.56,Tablet,TRUE,0.42,Poor Sleep,Urban
